nationality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,"16,243","19,824","22,030",20469,24516,14816,25507,33371,38429,38972
Bangladesh,,,,22410,21851,14831,23440,29060,26355,25849
Canada,"9,322","11,404","13,507",12132,11610,6495,12491,15105,17317,17102
China,"46,360","61,917","71,861",113173,123805,64675,104005,104664,153633,169543
France,"24,550","26,720","28,805",21842,24097,10885,20863,26140,31810,30646
Germany,"22,583","27,472","30,409",22263,18028,12216,23812,29918,36879,36641
India,"120,898","149,504","165,815",180974,135343,75124,118249,160832,194323,254150
Italy,"10,226","12,621","14,614",9974,10347,3972,9911,11840,15342,15676
Japan,"23,332","26,283","28,642",26694,25829,14465,22979,27326,29817,30534
South Korea,,,,19714,23205,18112,25171,34301,37218,29680
Malaysia,,,,,,,,,22833,21329
Myanmar,,,,,,,25796,30852,41402,36274
Netherlands,"13,471","16,836","15,445",10516,12320,4324,11453,13393,15353,15032
Spain,"13,712","16,037","14,549",10412,13110,4307,12255,15953,20214,19057
Sri Lanka,"45,531","59,884","69,476",32736,37546,43117,57521,45361,69640,55869
Thailand,,,,40969,33422,32338,26722,39154,52429,41653
U.S.A.,"36,425","42,875","48,985",47355,49830,53897,53645,79146,91895,93218
U.K.,"35,091","39,091","41,294",35668,36759,204469,46295,51058,63466,61144
Others,"168,590","179,158","214,638",78821,218639,171688,119245,174460,,204822