Mountain/ Country,andorra,Argentina,australia,austria,azerbaijan,Bangladesh,Belgium,Brazil,Bulgaria,Canada,Chile,China,Czech Republic,Denmark,Ecuador,Egypt,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong,I. R. of Iran,Iceland,India,Ireland,Israel,Italy,Japan,Kazakhstan,south Korea,North Korea,Kuwait,Kyrgyz Republic,Lebanon,Lithuania,Malaysia,Mexico,Moldova,Nepal,Netherlands,Netherlands,New Zealand,Norway,Oman,Pakistan,Peru,Poland,Portugal,Qatar,Republic of Kosovo,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,Spain,Swaziland,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, Province of China",Thailand,Turkey,U.S.of America,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Grand Total
"Mt. Amadablam
(6814m.)",,,2,8,1,,,2,1,5,,4,1,,1,,,1,5,2,10,,,5,4,2,2,,4,7,1,,2,1,1,,1,,2,,2,1,,5,4,,,,7,,,,3,#,,1,1,,,5,1,4,5,,,1,,32,4,,21,,190
"Mt. Amolsang
(6393m.)",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Mt. Annapurna
1 (8091m.)",,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,1,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,1,,,1,,15
"Mt. Annapurna
IV (7525m.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Mt. Ardang
(6034m.)",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Mt. Baden
Pawel Scout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Mt. Baruntse
(7152m.)",,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,2,,,,,8
"Mt. Chamlang
(7319m.)",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Mt. Chamlang
(7321m.)",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Mt. Chhopa-
bamare",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2
"Mt. Dhaulagiri
(8163m.)",,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,5
"Mt. Everest
(8848m.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"Mt.
Everest(8848m.)",,3,1,1,,,2,2,,7,1,54,,1,1,1,,,3,1,1,3,5,1,2,61,4,,,6,,,,,,5,,,,,13,1,,1,7,1,1,,1,1,1,2,2,,2,3,,,1,,1,,1,1,2,,,42,,,29,,279
"Mt. Gaugiri
(6110m.)",,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,7
"Mt. Gyalzen
Peak (6151m.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Mt. Himlung
(7126m.)",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,3,1,,8
"Mt. Himlung Himal
(7126m.)",,,2,1,,1,,,,1,,2,,,,,,,10,,6,,,,,,,,,5,,,,,,,,,,,1,3,,,2,,,,1,,,,,,,,,,,3,1,,1,,,,,3,,,1,,44
Mt. Hongde (6556m.),,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6
"Mt. Kanchanjunga
(8586m.)",,1,,,,,,,2,,2,,1,,,,,,,,1,,,,,14,,,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,28
"Mt. Khangtega
(6783m.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Mt. Lhotse (8516m.),,,,,1,,,,1,3,1,3,,,1,,,,2,,,2,3,,,3,1,,,2,,,,,,,,,,,,,,,,,2,,1,,1,,1,4,,,,,,3,,,1,,,,,4,,,,,40
"Mt. Linku Chuli
2(6659m.)",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
Mt. Lubula (6899m.),,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Mt. Makalu (8463m.),,,2,,,,1,,,,,3,,,,,,,,,,,,,,18,,,,,,,1,,,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,1,,,5,,,1,,37
Mt. Manaslu (8163m.),3,,4,5,1,,2,4,2,6,2,51,1,,,,2,1,7,,12,1,,2,1,2,3,1,8,10,,1,,,,2,4,,,1,4,,,,2,,2,,10,,,,1,7,,,,,,3,,1,3,,,1,,9,3,,3,,188
Mt. Nemjung (7139m.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Mt. Norbu Kang
(6005m.)",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Mt. Panpoche 1 (
6620m. )",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Mt. Panpoche II
(6504m. )",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Mt. Pumori (7161m.),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4
"Mt. Putha Hiunchuli
(7246m.)",,2,1,,,,,,,1,,,,,,,,,2,,7,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,23
Mt. Sarbung (6346m.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Mt. Saribung (6346m.),,,,,,,,,,,,1,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,10
"Mt. Tengi Ragi Tau
(6938m.)",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,2,,,,,7
"Mt. Tengkoma
(6215m.)",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Mt. Thapa Peak
6012m.)",,,,,,,1,,,,,,,,,,,,12,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,1,,,,,1,,,8,,33
"Mt. Thorang Peak
(6144m.)",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5
Grand Total,3,6,17,16,3,1,6,8,7,25,7,##,5,1,3,1,2,2,61,9,42,6,8,8,7,##,10,1,24,36,1,1,4,1,1,7,5,1,5,1,##,##,2,7,##,1,6,1,24,1,2,2,8,##,2,5,1,1,1,##,3,5,##,1,3,2,1,##,7,3,##,1,984