year,total_foreign_exchange_earning_from_tourism_NRS_in_millions,as_%_of_total_Value_of_Merchandise_Exports,as_%_of_total_Value_of_Exports_of_Goods_&_Non_Factor_Services,as_%_of_total_Foreign_Exchange_Earnings,as_%_of_GDP
2000/01,"11,717.00",16.8,11.8,5.8,2.7
2001/02,"8,654.30",14.9,10.6,4.8,1.9
2002/03,"11,747.70",23.1,15.2,6.1,2.4
2003/04,"18,147.40",32.9,20.3,8.2,3.4
2004/05,"10,464.00",17.5,12.2,4.7,1.8
2005/06,"9,556.00",15.5,10.9,3.6,1.5
2006/07,"10,125.00",16.5,10.8,3.8,1.4
2007/08,"18,653.00",30.1,17.9,5.6,2.3
2008/09,"27,960.00",40,22.8,6.5,2.8
2009/10,"28,139.00",44.5,24.6,6,2.4
2010/11,"24,611.00",35.8,20.2,4.9,1.8
2011/12,"30,703.80",37.7,20,4.5,1.8
2012/13,"34,210.60",39.8,18.9,4.5,2
2013/14,"46,374.90",45.9,20.5,4.7,2.4
2014/15,"53,428.80",54.4,21.6,4.9,2.5
2015/16,"41,765.40",55.8,19.6,3.7,1.9
2016/17,"58,526.90",71.3,24.3,4.5,2.3
2017/18,"67,094.60",71.9,24.8,9.9,2.2
2018/19,"75,808.60",,,11.2,
2019/20*,"42,736.90",,,6.3,