incident,Shrawan,Bhadra,ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,ashad
Lost/Missing,38,25,49,57,38,39,31,27,43,66,41,27
Stolen/theft,7,9,12,17,12,11,5,3,6,11,6,3
"Fraud/Cheat-
ing",4,0,2,3,2,3,0,0,3,2,5,0
Robbery,0,0,0,0,0,0,0,0,1,1,0,0
Pickpockt,0,0,1,1,0,0,0,0,2,1,1,0
"Harrastment/
dispute",0,0,1,1,0,0,0,1,0,0,1,0
Accident,0,0,0,0,0,0,0,0,0,1,0,0
Damage,0,0,0,1,0,0,0,1,1,0,1,0
Attack/ Assault,0,0,0,0,0,0,0,0,0,0,0,1
Snatched,0,0,0,0,0,0,0,0,1,0,0,0
Threaten,0,0,0,0,0,0,0,0,0,0,0,0
Rape,0,0,0,0,0,0,0,0,0,0,0,0
MISBEHAV- IOUR,0,0,0,0,1,0,1,0,0,0,0,0
kidnap,0,0,0,0,0,0,0,0,0,0,0,0
Other,1,1,0,0,1,0,0,0,1,0,0,1