nationality,Shrawan,Bhadra,ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,ashad
Algerian,0,0,0,0,0,0,0,0,1,0,0,0
AMERICAN,2,2,4,5,9,0,3,4,3,9,3,1
AUSTRIA,0,0,0,0,0,0,0,0,1,0,1,0
ARGENTINA,0,0,0,0,0,0,0,0,4,0,0,0
AUSTRALIAN,3,0,8,10,7,3,2,3,3,4,3,1
BANGLADESH,0,3,2,0,1,3,1,0,3,3,0,3
BELGIUM,0,1,0,1,0,1,2,0,0,3,0,0
BRAZILIAN,0,0,0,1,0,0,0,0,0,1,0,0
BRITISH,3,0,3,2,7,3,2,3,4,5,4,2
BHUTANESE,0,0,1,0,0,0,0,,0,0,0,1
CANADIAN,1,0,1,1,4,0,2,3,2,0,1,1
CHINESE,15,5,8,12,4,12,5,,6,7,4,6
CHILI,0,0,0,0,0,0,0,1,0,0,1,0
Congo,1,0,0,0,0,0,0,0,0,0,0,0
CZECH REPUBLIC,0,0,0,1,0,0,0,0,0,1,14,0
DANISH,0,0,0,0,0,0,0,0,2,0,1,1
ESTONIA,0,0,0,0,0,0,1,0,0,0,0,0
Egyptian,0,0,0,0,0,1,0,0,0,0,0,0
FRENCH,0,3,3,8,5,3,0,1,4,4,4,0
Filipinos',0,0,0,0,0,0,1,0,0,0,0,0
FINNISH,1,0,0,0,0,2,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,1,0,0,0,0
GERMAN,0,4,5,5,1,1,3,0,0,6,3,0
Guatemala,0,0,0,0,0,0,1,0,0,0,0,0
GUINEA,1,0,1,0,1,0,0,0,0,0,0,0
INDIAN,5,1,3,1,4,6,2,2,6,0,9,10
INDONESIAN,1,0,0,0,1,0,1,0,0,1,0,0
IRELAND,0,0,1,0,0,1,0,0,0,0,1,0
IRANIAN,1,0,0,0,0,0,0,0,0,0,0,0
ISRAELI,0,1,1,2,1,5,0,1,3,4,0,0
ITALIAN,1,1,1,4,1,0,1,0,1,1,0,0
IVORY COAST,1,0,0,0,1,0,0,0,0,0,0,0
JAPANESE,1,3,5,2,2,4,2,4,3,4,2,0
KOREAN,1,1,0,0,1,0,1,2,2,2,1,0
LEBANON,0,0,0,0,0,0,0,0,0,0,0,1
LITHUANIAN,1,0,0,0,0,0,0,0,0,0,0,0
HONG KONG,0,0,0,1,0,0,0,0,0,2,0,0
MALAYSIAN,0,3,0,3,0,0,0,0,2,2,0,0
MOLDOVA,1,0,0,0,0,0,0,0,0,0,0,0
Netherland,5,3,2,5,1,3,3,1,2,6,0,0
NEW ZELAND,0,1,0,2,0,1,0,0,1,2,1,0
NORWEGIAN,0,0,0,0,0,0,0,2,0,2,0,0
PAKISTANI,0,0,2,0,0,0,1,0,0,3,0,0
PORTUGAL,1,0,0,0,0,0,0,0,0,0,0,0
PHILIPPINES,0,0,0,0,0,0,0,0,0,0,0,1
POLAND,0,0,0,1,0,1,0,0,1,0,0,0
PORTUGUESE,0,0,0,1,0,0,0,0,0,0,0,0
ROMANI,0,0,1,0,0,0,0,1,1,0,0,2
RUSSIAN,0,0,2,1,0,0,0,0,0,1,0,0
SAUDI,0,0,0,0,0,1,0,1,0,0,0,0
SERESS,0,0,1,0,0,0,0,0,0,0,0,0
SENEGAL,0,1,0,0,0,0,0,0,0,0,0,0
SRILANKA,0,0,3,0,0,0,0,0,0,0,0,0
SINGAPOREAN,1,0,0,2,2,1,0,2,0,1,0,0
SPANISH,2,2,4,6,1,0,2,0,3,1,0,1
SWEDEN,0,0,0,0,0,0,0,0,0,2,0,0
SWISS,1,0,0,2,0,0,1,0,0,2,0,0
TAIWAN,0,0,1,0,0,0,0,0,0,0,1,0
THAILAND,0,0,0,0,0,0,0,0,0,0,1,0
UZBEKISTAN,0,0,0,0,0,0,0,0,0,1,0,0
UKRAINIAN,0,0,1,1,0,0,0,0,0,2,0,0
YEMEN,0,0,1,0,0,1,0,0,0,0,0,1