nationality,year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,
Australia,2018,2689,2537,3605,3805,1903,1619,1718,1406,3746,5826,5140,4435,38429
Australia,2019,3251,2753,3275,4521,2048,1731,1442,1407,4454,5671,4970,3449,38972
Australia,2020,3008,2542,1079,2,4,2,2,11,11,49,34,49,6793
Bangladesh,2018,2743,3236,2946,2028,1191,1850,1407,2311,1854,1843,2125,2821,26355
Bangladesh,2019,1284,1641,2072,1840,1037,2270,1588,2565,1979,2786,2963,3824,25849
Bangladesh,2020,2285,2209,374,0,2,2,2,1,8,5,18,11,4917
Canada,2018,955,1511,2086,1827,1174,805,921,775,1222,2700,2134,1207,17317
Canada,2019,1134,1426,2196,1928,1265,729,853,693,1370,2643,1909,956,17102
Canada,2020,965,1237,680,0,2,5,4,10,9,46,58,86,3102
China,2018,12027,15394,13558,12554,9148,8696,13122,12048,12934,13538,14862,15752,153633
China,2019,12916,15345,17398,13778,12359,10215,12450,12817,13195,14896,17499,16675,169543
China,2020,13329,3429,1653,0,0,0,0,1,56,115,209,465,19257
France,2018,1160,1863,3260,4453,1525,736,1620,1349,2362,7552,4340,1590,31810
France,2019,1225,1814,3534,4343,1601,784,1300,1420,2191,6826,4508,1100,30646
France,2020,1106,2037,1196,0,1,4,4,20,18,53,33,68,4540
Germany,2018,1301,2617,6122,3428,2055,993,1094,1572,3775,7523,4613,1786,36879
Germany,2019,1480,3113,5589,4927,1808,835,988,1361,3456,7494,4208,1382,36641
Germany,2020,1405,2659,1692,0,0,2,2,10,9,50,27,40,5896
India,2018,12152,7570,14411,16612,21385,21623,16888,18327,15396,11566,16167,22226,194323
India,2019,17690,17659,18256,17128,26021,30513,22117,27555,18497,15612,19679,23423,254150
India,2020,16882,14886,6814,2,7,26,26,23,41,107,125,1397,40336
Italy,2018,707,912,1237,1333,683,447,967,2193,1116,2376,1787,1584,15342
Italy,2019,660,931,1483,2050,784,504,569,2123,903,2375,1868,1426,17695
Italy,2020,655,657,250,0,0,0,0,0,1,13,8,15,1599
Japan,2018,2135,2761,4281,2393,1312,973,1284,1925,2170,2895,4182,3506,29817
Japan,2019,2728,2871,3692,2960,1690,1111,1297,2254,2351,2599,3701,3280,30534
Japan,2020,2003,2902,557,0,2,0,0,2,6,49,37,41,5599
Malaysia,2018,981,1487,2213,2154,1166,1234,1138,1380,1967,2483,3394,3236,22833
Malaysia,2019,990,1630,2160,2068,1468,1232,835,1458,1823,2144,2868,2653,21329
Malaysia,2020,1179,1588,673,0,0,0,0,0,1,2,9,8,3460
Myanmar,2018,3703,5353,6251,2783,106,84,107,138,109,2523,10246,9999,41402
Myanmar,2019,3827,5676,7290,2776,132,95,97,74,188,3859,6530,5730,36274
Myanmar,2020,4447,12119,4320,0,0,0,0,0,0,1,6,18,20911
Netherlands,2018,589,1188,1650,1792,801,447,961,778,1184,2793,1929,1240,15352
Netherlands,2019,603,1252,1844,1813,796,375,1028,812,1304,2756,1604,847,15034
Netherlands,2020,591,1119,774,0,0,1,1,0,4,29,12,32,2563
South Korea,2018,6075,2607,4021,2597,1554,1279,2415,1874,2397,3850,4532,4017,37218
South Korea,2019,5089,2723,3297,2279,1514,1210,2067,1914,2013,3035,2929,3038,31108
South Korea,2020,4559,1956,290,0,0,0,0,0,10,15,0,114,6944
Spain,2018,555,728,1625,1109,964,745,2245,3505,2296,3313,2080,1049,20214
Spain,2019,679,669,1135,2311,1119,823,1482,3331,1945,2972,2091,826,19383
Spain,2020,570,655,353,0,0,0,0,1,8,10,11,17,1625
Sri Lanka,2018,341,5841,10630,379,359,365,1457,16876,8815,6563,16562,1452,69640
Sri Lanka,2019,655,7835,10835,1531,253,355,1079,14486,6962,5851,5539,935,56316
Sri Lanka,2020,291,7369,5556,0,0,0,0,1,1,50,21,39,13328
Thailand,2018,4989,6841,6860,1791,902,1058,872,905,1086,3646,10134,13345,52429
Thailand,2019,4616,7725,6112,2962,937,728,823,717,881,3705,6267,6187,41660
Thailand,2020,4005,12947,3760,0,0,0,0,0,0,29,1,36,20778
UK,2018,3250,4884,7822,6102,3184,2679,5226,3644,4528,9438,7698,5011,63466
UK,2019,3874,5031,6702,7192,3387,2786,4140,3387,4736,8716,7193,4000,61144
UK,2020,3585,4845,2257,5,7,19,19,42,79,284,295,325,11762
USA,2018,5499,6807,9083,8094,6961,7284,6955,4628,6519,12539,9804,7722,91895
USA,2019,6620,6684,9450,8493,7550,7968,6325,4966,7062,12241,9635,6247,93241
USA,2020,6383,6790,2929,0,0,8,8,56,126,399,449,619,17767
Others,2019,11336,15370,23025,23416,12452,12242,12884,12045,18398,27778,26130,19642,212378
Others,2019,11952,15645,21031,24499,12560,10619,10436,11409,17294,27915,24341,14888,200570
Others,2020,12454,16244,7569,5,6,33,128,89,196,719,603,862,38908
Grand-Total,2018,73187,89507,124686,98650,68825,65159,73281,87679,91874,130745,147859,121620,1173072
Grand-Total,2019,81273,102423,127351,109399,78329,74883,70916,94749,92604,134096,130302,100866,1197191
Grand-Total,2020,79702,98190,42776,14,31,102,196,267,584,2025,1956,4242,230085