name_and_height_in_metre,member_count,royalty_USD,royalty_NRS
Mt. Amadablam (6814 m.),4,800,90290
Mt. Amadablam (6814m.),38,18000,2093680
Mt. Barun Tse (7129m.),6,152,18000
Mt. Chukyima Go (6258m.),2,500,57300
Mt. Gyalzen Peak (6151m.),3,50,6000
Mt. Himlung Himal (7126 m.),6,1500,176574.5
Mt. Jarkya Peak (6473),3,750,85985
Mt. Kyungya Ri 2 (6506 m.),1,100,11800
Mt. Luza Peak (5726 m),3,25,3000
Mt. Manaslu (8163 M.),18,16200,1906740
Mt. Pabuk Khang (6244m.),3,750,85875
Mt. Thorang Peak (5751m.),2,500,59025