country,Cholaltse,,KyazoRi,Nirekha,LangsisaRi,Ombigaichen,Bokta,Lobuje West,Larkya,ABI,Singuchuli,Mera,KusumKanguru,Kwangde,Chulu West,ImjaTse (Island),Pharchamo,Lobuje,Ramdung,Pisang,GanjalaChuli (NayaKhang),Paldor,Hiunchuli,Chulu East
Austria,,,,,,,,,,,,6,,,,1,,6,,,,,,
Australia,,,,,,,,,,,,10,,,,2,,3,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,4
Baharain,,,,,,,,,,,,,,,,1,,15,,,,,,
Belgium,,,,,,,,,,,,1,,,,2,,4,,,,,,
Brazil,,,,,,,,,,,,,,,,1,,,,,,,,
Bulgeria,,,,,,,,,,,,,,,,1,,,,,,,,
Canada,,,,,,,,,,,,,,,1,5,,1,,,,,,
Chile,,,,,,,,,,,,,,,,1,,,,,,,,
China,,,,,,,,,,,,,,,,12,,1,,,,,,
Costa Rica,,,,,,,,,,,,,,,,1,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,2,,4,,,,,,
France,,,,,,,,,,,,1,,,3,,,3,,3,,,,3
Germany,,,,5,,,,,,,,1,,,,14,,6,,,,,,1
Hungary,,,,,,,,,,,,,,,,1,,1,,,,,,
India,,,,,,,,,,,,,,,,3,,2,,,,,,
Ireland,,,,,,,,,,,,,,,,1,,,,,,,,
Italy,,,,1,,,,,,,,6,,,,2,,3,,,,,,
Japan,,,,1,,,2,,,,,2,,,,3,,1,,,2,,,
Kuwait,,,,,,,,,,,,,,,,,,1,,,,,,
Malaysia,,,,,,,,,,,,1,,,,3,,,,,,,,
Nepal,2,,,,,,,9,,,,68,,,,17,,21,,,,,,2
Netherlands,,,,1,,,,,,,,1,,,,1,,2,,,,,,
New Zealand,,,,,,,,,,,,,,,,1,,,,,,,,
Norway,,,,,,,,,,,,,,,,3,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,1,,,,,,,,
Poland,,,,,,,,,,,,,,,,8,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,3,-,,,,,
Singapore,,,,,,,,,,,,,,,,2,,,,,,,,
Slovakia,,,,,,,,,,,,1,,,,,,1,,,,,,
Spain,,,,,,,,,,,,1,,,,3,,,,,,,,
Sweden,,,,,,,,,,,,2,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,1,,1,,1,,,,
Turkey,,,,,,,,,,,,,,,,,,1,,,,,,
Ukraine,,,,,,,,,,,,2,,,,,,1,,,,,,
Srilangka,,,,,,,,,,,,1,,,,,,,,,,,,
United Kingdom,,,,1,,,,,,,,6,,,,6,,4,,,,,,
United States,,,,,,,,,,,,,,,,13,,6,,,,,,