Year,Total_foreign_exchange_earning_from_tourism_Rs_in_millions),percent_of_total_value_of_merchandise_exports,percent_of_total_value_of_exports_of_goods_and_non_factor_services,percent_of_total_value_of_total_foreign_exchange_earnings,percent_of_total_value_of_GDP
2000/01,11717,16.8,11.8,6.6,2.7
2001/02,8654.3,14.9,10.6,5.4,1.9
2002/03,11747.7,23.1,15.2,7.1,2.4
2003/04,18147.4,32.9,20.3,9.9,3.4
2004/05,10463.8,17.5,12.2,5.3,1.8
2005/06,9555.8,15.5,10.9,4.1,1.5
2006/07,10125.3,16.5,10.8,4.1,1.4
2007/08,18653.1,30.1,17.9,6,2.3
2008/09,27959.8,40,22.8,6.9,2.8
2009/10,28138.6,44.5,24.6,6.6,2.4
2010/11,24610.7,35.8,20.2,5.3,1.6
2011/12,30703.8,37.7,20,4.9,1.7
2012/13,34210.6,39.8,18.9,4.8,1.8
2013/14,46374.9,45.9,20.5,5.1,2.1
2014/15,53428.6,54.4,21.6,5.2,2.2
2015/16,41765.3,55.8,19.6,4,1.6
2016/17,58526.9,71.3,24.3,5,1.9
2017/18,68521.7,73.3,25.4,5.6,2
2018/19,75374.1,66.3,25.1,5.4,2
2019/20,60885,56.2,23,4.6,1.5
2020/21*,3870.5,-,-,-,-