month,flight_movement_ARR,flight_movement_DEP,flight_movement_total,pax_movement_IN,pax_movement_OUT,pax_movement_total
JAN,1415,1416,2831,140676,190468,331144
FEB,1171,1171,2342,110477,166659,277136
MAR,694,698,1392,87702,94903,182605
APR,31,32,63,0,3277,3277
MAY,40,39,79,6,3072,3078
JUNE,120,126,246,11276,6141,17417
JULY,188,188,376,52405,5063,57468
AUG,152,150,302,13488,4769,18257
SEPT,251,252,503,23282,13544,36826
OCT,366,365,731,32327,21041,53368
NOV,335,339,674,33585,25100,58685
DEC,358,359,717,34427,32170,66597