month,flight_movement_ARR,flight_movement_DEP,flight_movement_total,pax_movement_IN,pax_movement_OUT,pax_movement_total
2011,11394,11398,22792,1292515,1407512,2700027
2012,11659,11661,23320,1546350,1378825,2925175
2013,11807,11812,23619,1647235,1493067,3140302
2014,13605,13603,27208,1889448,1622199,3511647
2015,13281,13283,26564,1674664,1542498,3217162
2016,13560,13558,27118,1823598,1687144,3510742
2017,16680,16682,33362,2083150,1804695,3887845
2019,16951,16946,33897,2201775,2180458,4382233
2019,16212,16213,32425,2245338,1893426,4138764
2020,5121,5135,10256,539651,566207,1105858