month,flight_movement_ARR,flight_movement_DEP,flight_movement_total,pax_movement_IN,pax_movement_OUT,pax_movement_total
ABY,310,310,620,32272,35966,68238
ADY,20,20,40,631,1645,2276
AIC,207,207,414,21924,21686,43610
BBC,69,69,138,5409,2677,8086
BHA,26,26,52,787,719,1506
BTN,31,31,62,639,43,682
CCA,72,72,144,5651,4248,9899
CES,73,73,146,5421,6241,11662
CSC,20,20,40,1153,1019,2172
CSN,103,103,206,11240,9536,20776
DRK,117,117,234,3222,693,3915
ETD,100,100,200,11439,11187,22626
FDB,283,283,566,35046,37376,72422
HDA,64,64,128,11676,7127,18803
HIM,671,669,1340,49774,40270,90044
IGO,246,246,492,31477,15449,46926
JZR,151,151,302,11225,9743,20968
KAL,55,55,110,9429,10504,19933
MAS,139,139,278,15803,13844,29647
MXD,203,203,406,17643,24651,42294
NAC,934,928,1862,113070,160835,273905
NSB,3,3,6,0,0,0
OMA,104,104,208,13967,8887,22854
OMS,59,59,118,7338,3034,10372
QTR,470,470,940,85769,65213,150982
SEJ,3,3,6,0,151,151
SHA,26,26,52,301,39,340
SLK,99,99,198,11946,10442,22388
TBA,32,32,64,1950,1392,3342
THA,77,77,154,14462,13351,27813
THY,95,95,190,19358,6143,25501
TLM,74,74,148,7878,7973,15851
VTI,38,38,76,4094,2896,6990
OTH,156,151,307,5200,3152,8352