nationality,Shrawan,Bhadra,Ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,Ashad,Total
AMERICAN,5,5,3,7,5,6,2,1,0,0,0,0,34
AUSTRIA,0,3,0,0,0,0,0,0,0,0,0,0,3
AUSTRALIAN,1,0,7,12,4,5,4,4,0,0,0,0,37
BANGALADESHI,3,0,3,2,5,1,1,1,0,0,0,0,16
BELGIUM,0,0,0,0,0,0,0,1,1,0,0,0,2
BRAZILIAN,0,0,0,2,0,0,0,0,0,0,0,0,2
BRITISH,5,2,4,6,2,2,7,5,4,0,0,0,37
BHUTANESE,0,0,0,1,0,0,0,0,0,0,0,0,1
CANADIAN,0,1,1,0,2,1,1,2,0,0,0,0,8
CAMEROUNIAN,0,0,0,0,0,0,0,1,0,0,0,0,1
CHINESE,5,7,15,16,19,27,14,15,4,3,1,10,136
CZEH REPUBLIC,1,0,1,0,0,0,0,0,0,0,0,0,2
DEUTSCH,0,0,0,0,0,0,0,1,0,0,0,0,1
DENISH,0,1,0,0,0,0,0,0,0,0,0,0,1
ESTONIA,0,0,2,0,0,0,0,0,0,0,0,0,2
EGYPTIAN,0,0,0,1,1,0,0,0,0,0,0,0,2
ETHIOPIA,0,0,0,0,1,0,0,0,0,0,0,0,1
FRENCH,3,3,3,4,5,2,1,2,0,0,0,0,23
FINNISH,0,0,0,1,0,0,0,0,0,0,0,0,1
GUINEENE,0,0,0,1,0,0,0,0,0,0,0,0,1
GERMAN,0,1,1,6,0,2,1,4,0,0,0,0,15
GUATEMALA,0,0,0,0,0,0,0,1,0,0,0,0,1
HUNGARIAN,0,0,0,0,0,0,0,1,0,0,0,0,1
HONDRUS,0,1,0,0,0,0,0,0,0,0,0,0,1
INDIAN,6,3,5,7,5,16,7,8,0,0,1,0,58
IRSISH (IRELAND),0,0,0,0,0,0,0,1,0,0,0,0,1
IRANIAN,0,0,0,0,2,0,0,0,0,0,0,0,2
ISREALI,1,0,0,4,2,1,0,0,2,1,1,0,12
ITALIAN,1,1,0,1,2,3,2,0,0,0,1,0,11
IVORY COAST,0,0,0,1,0,0,0,0,0,0,0,0,1
AMERICAN,5,5,3,7,5,6,2,1,0,0,0,0,34
AUSTRIA,0,3,0,0,0,0,0,0,0,0,0,0,3
AUSTRALIAN,1,0,7,12,4,5,4,4,0,0,0,0,37
BANGALADESHI,3,0,3,2,5,1,1,1,0,0,0,0,16
BELGIUM,0,0,0,0,0,0,0,1,1,0,0,0,2
BRAZILIAN,0,0,0,2,0,0,0,0,0,0,0,0,2
BRITISH,5,2,4,6,2,2,7,5,4,0,0,0,37
BHUTANESE,0,0,0,1,0,0,0,0,0,0,0,0,1
CANADIAN,0,1,1,0,2,1,1,2,0,0,0,0,8
CAMEROUNIAN,0,0,0,0,0,0,0,1,0,0,0,0,1
CHINESE,5,7,15,16,19,27,14,15,4,3,1,10,136
CZEH REPUBLIC,1,0,1,0,0,0,0,0,0,0,0,0,2
DEUTSCH,0,0,0,0,0,0,0,1,0,0,0,0,1
DENISH,0,1,0,0,0,0,0,0,0,0,0,0,1
ESTONIA,0,0,2,0,0,0,0,0,0,0,0,0,2
EGYPTIAN,0,0,0,1,1,0,0,0,0,0,0,0,2
ETHIOPIA,0,0,0,0,1,0,0,0,0,0,0,0,1
FRENCH,3,3,3,4,5,2,1,2,0,0,0,0,23
FINNISH,0,0,0,1,0,0,0,0,0,0,0,0,1
GUINEENE,0,0,0,1,0,0,0,0,0,0,0,0,1
GERMAN,0,1,1,6,0,2,1,4,0,0,0,0,15
GUATEMALA,0,0,0,0,0,0,0,1,0,0,0,0,1
HUNGARIAN,0,0,0,0,0,0,0,1,0,0,0,0,1
HONDRUS,0,1,0,0,0,0,0,0,0,0,0,0,1
INDIAN,6,3,5,7,5,16,7,8,0,0,1,0,58
IRSISH (IRELAND),0,0,0,0,0,0,0,1,0,0,0,0,1
IRANIAN,0,0,0,0,2,0,0,0,0,0,0,0,2
ISREALI,1,0,0,4,2,1,0,0,2,1,1,0,12
ITALIAN,1,1,0,1,2,3,2,0,0,0,1,0,11
IVORY COAST,0,0,0,1,0,0,0,0,0,0,0,0,1
JAPANESE,5,3,3,2,5,4,2,6,0,0,0,0,30
KOREAN,2,0,1,4,0,3,5,0,0,0,0,0,15
LIBERIA,0,0,0,0,0,1,0,0,0,0,0,0,1
LITHUNIAN,0,0,1,1,0,0,0,0,0,0,0,0,2
MALAYSIAN,0,3,0,0,0,0,1,0,0,0,0,0,4
MALTA,0,1,0,0,0,0,1,0,0,0,0,0,2
MEXICO,0,0,0,0,0,0,1,0,0,0,0,0,1
MYANMAR,0,0,0,1,0,0,0,0,0,0,0,0,1
NETHERLAND,,2,5,3,0,1,0,0,1,0,0,0,12
NEWZERLAND,0,2,2,0,5,0,0,1,1,0,0,0,11
NORWEGIAN,0,0,0,0,2,0,0,1,0,0,0,0,3
PAKISTANI,0,0,0,0,0,0,0,1,0,0,0,0,1
PHILIPINES,1,0,0,0,0,0,0,0,0,0,0,0,1
POLAND,0,0,0,2,0,0,0,0,0,0,0,0,2
REPUBLICA DOMINICANA,0,0,1,0,0,0,0,0,0,0,0,0,1
ROMANI,0,0,0,0,0,0,1,1,0,0,0,0,2
RUSSIAN,0,2,0,1,0,0,1,0,0,0,0,0,4
SHRELANKA,0,0,0,2,0,0,0,0,0,0,0,0,2
SINGAPOREAN,0,0,1,0,2,0,0,0,0,0,0,0,3
SPANISH,0,3,1,2,0,1,1,0,0,0,0,0,8
SOUTH AFRICAN,0,0,0,1,0,0,1,0,0,0,0,0,2
SOLOVENE,0,0,0,0,1,1,0,0,0,0,0,0,2
SWEDEN,0,0,1,0,0,0,0,0,0,0,0,0,1
SWISS,0,0,0,1,0,0,1,0,0,0,0,0,2
TAIWAN,0,1,0,0,0,0,1,0,0,0,0,0,2
THAILAND,0,0,0,0,0,0,1,0,0,0,0,0,1
TRUKEY,1,2,0,1,0,0,0,0,0,0,0,0,4
URUGWAY,0,0,0,0,0,0,0,1,0,0,0,0,1
UKRAINIAN,0,0,0,0,0,1,0,0,1,0,0,0,2
VIETHANAM,0,0,0,1,0,0,0,0,0,0,0,0,1